show_id,type,title,director,cast,country,language,date_added,release_year,imdb_rating,imdb_votes,duration,listed_in,description
s0022,Movie,Extraction 22,Sam Hargrave,"Lead Actor, Lead Actress",United States,English,2022-02-11,2020,6.8,526102,116 min,"Comedies, Dramas","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0023,Movie,Bird Box 23,Susanne Bier,"Lead Actor, Lead Actress",United States,english ,2018-03-21,2018,6.6,671187,124 min,"Sci-Fi, Fantasy",A thrillers story featuring memorable characters and unexpected events.
s0024,Movie,Red Notice 24,Rawson Marshall Thurber,"Lead Actor, Lead Actress",United States,english,2019-04-04,2021,6.3,800750,118 min,"Comedies, Dramas","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0025,Movie,The Gray Man 25,"Anthony Russo, Joe Russo",,United States,English,2022-12-22,2022,6.5,341102,122 min,Children & Family,"A drama, international story featuring memorable characters and unexpected events."
s0026,Movie,Enola Holmes 26,Harry Bradbeer,"Lead Actor, Lead Actress",United States, ENGLISH,2018-04-13,2020,6.6,252283,123 min,"Drama, International",A documentaries story featuring memorable characters and unexpected events.
s0027,Movie,Glass Onion 27,Rian Johnson,"Main Cast, Supporting Cast",United States,English,2023-05-22,2022,7.1,768660,139 min,Children & Family,"A action, thriller story featuring memorable characters and unexpected events."
s0028,Movie,All Quiet on the Western Front 28,Edward Berger,"Actor One, Actor Two, Actor Three",Germany,german,2022-12-31,2022,7.8,692998,148 min,Children & Family,"A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0029,Movie,Roma 29,Alfonso Cuarón,,Spain, SPANISH,2018-11-17,2018,7.7,637259,135 min,International Movies,A documentaries story featuring memorable characters and unexpected events.
s0030,Movie,The Platform 30,Galder Gaztelu-Urrutia,"Lead Actor, Lead Actress",Spain,spanish,2023-01-27,2019,7.0,419573,94 min,Romantic Movies,A children & family story featuring memorable characters and unexpected events.
s0031,Movie,The Mitchells vs. the Machines 31,"Michael Rianda, Jeff Rowe","Main Cast, Supporting Cast",United States,English ,2022-10-30,2021,7.6,261147,114 min,Documentaries,"A action, thriller story featuring memorable characters and unexpected events."
s0032,Movie,Klaus 32,Sergio Pablos,,United States,English,2020-10-25,2019,8.2,582028,96 min,Documentaries,A thrillers story featuring memorable characters and unexpected events.
s0033,Movie,The Half of It 33,Alice Wu,"Main Cast, Supporting Cast",United States,English,2019-07-01,2020,6.9,743425,104 min,"Drama, International",A documentaries story featuring memorable characters and unexpected events.
s0034,Movie,Dangal 34,Nitesh Tiwari,"Lead Actor, Lead Actress",India,Hindi,2017-10-13,2016,8.3,75499,161 min,"Sci-Fi, Fantasy",A documentaries story featuring memorable characters and unexpected events.
s0035,Movie,Andhadhun 35,Sriram Raghavan,"Actor One, Actor Two, Actor Three",India,Hindi ,2020-02-24,2018,8.2,566627,139 min,"Comedies, Dramas",A thrillers story featuring memorable characters and unexpected events.
s0036,Movie,Drishyam 36,Nishikant Kamat,"Actor One, Actor Two, Actor Three",India,Hindi ,2023-06-28,2015,8.2,823933,163 min,Children & Family,A international movies story featuring memorable characters and unexpected events.
s0037,Movie,RRR 37,S. S. Rajamouli,"Main Cast, Supporting Cast",India,Telugu,2019-02-28,2022,7.8,692193,187 min,International Movies,A romantic movies story featuring memorable characters and unexpected events.
s0038,Movie,Kantara 38,Rishab Shetty,,India,Kannada ,2021-10-10,2022,8.6,765691,148 min,"Drama, International","A action, thriller story featuring memorable characters and unexpected events."
s0039,Movie,The Lunchbox 39,Ritesh Batra,"Lead Actor, Lead Actress",India,Hindi ,2017-09-15,2013,7.8,840682,104 min,"Action, Thriller",A documentaries story featuring memorable characters and unexpected events.
s0040,Movie,3 Idiots 40,Rajkumar Hirani,,India,hindi,2019-03-05,2009,8.4,471605,170 min,"Comedies, Dramas",A international movies story featuring memorable characters and unexpected events.
s0041,Movie,Zindagi Na Milegi Dobara 41,Zoya Akhtar,,India, HINDI,2019-01-31,2011,8.2,263141,155 min,"Action, Thriller",A children & family story featuring memorable characters and unexpected events.
s0042,Movie,Kabhi Khushi Kabhie Gham 42,Karan Johar,"Main Cast, Supporting Cast",India,Hindi,2023-03-14,2001,7.4,685023,210 min,"Sci-Fi, Fantasy","A drama, international story featuring memorable characters and unexpected events."
s0043,Movie,Jawan 43,Atlee,"Actor One, Actor Two, Actor Three",India,hindi,2018-01-27,2023,6.9,427356,169 min,Children & Family,A children & family story featuring memorable characters and unexpected events.
s0044,Movie,The Killer 44,David Fincher,"Main Cast, Supporting Cast",United States,English ,04-Jun-2019,2023,6.7,173834,118 min,International Movies,"A drama, international story featuring memorable characters and unexpected events."
s0045,Movie,Maestro 45,Bradley Cooper,,United States, ENGLISH,2021-05-28,2023,6.5,300305,129 min,International Movies,"A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0046,Movie,Society of the Snow 46,J. A. Bayona,"Actor One, Actor Two, Actor Three",Spain,Spanish ,2024-06-13,2023,7.8,200322,144 min,"Crime, Drama",A documentaries story featuring memorable characters and unexpected events.
s0047,Movie,The Adam Project 47,Shawn Levy,,United States,Eng,2017-09-06,2022,6.7,65118,106 min,Romantic Movies,"A drama, international story featuring memorable characters and unexpected events."
s0048,Movie,Don't Look Up 48,Adam McKay,,United States,Eng,2017-08-03,2021,7.2,528476,138 min,"Sci-Fi, Fantasy","A comedies, dramas story featuring memorable characters and unexpected events."
s0049,Movie,The Power of the Dog 49,Jane Campion,"Main Cast, Supporting Cast",United States,Eng,2017-08-30,2021,6.8,196051,126 min,"Action, Thriller",A thrillers story featuring memorable characters and unexpected events.
s0050,Movie,Marriage Story 50,Noah Baumbach,"Actor One, Actor Two, Actor Three",United States,english ,2017-10-15,2019,7.9,424589,137 min,"Action, Thriller",A thrillers story featuring memorable characters and unexpected events.
s0051,TV Show,Stranger Things 51,The Duffer Brothers,"Main Cast, Supporting Cast",United States,Eng,2019-10-15,2016,8.7,650668,30 min,"Action, Thriller",A international movies story featuring memorable characters and unexpected events.
s0052,TV Show,The Crown 52,Peter Morgan,,United States,Eng,2024-05-25,2016,8.6,332937,35 min,"Crime, Drama",A documentaries story featuring memorable characters and unexpected events.
s0053,TV Show,Money Heist 53,Álex Pina,"Lead Actor, Lead Actress",Spain, SPANISH,2024-07-15,2017,8.2,416211,40 min,"Comedies, Dramas","A crime, drama story featuring memorable characters and unexpected events."
s0054,TV Show,Dark 54,"Baran bo Odar, Jantje Friese","Main Cast, Supporting Cast",Germany, GERMAN,2022-02-25,2017,8.7,481747,45 min,Thrillers,A thrillers story featuring memorable characters and unexpected events.
s0055,TV Show,Breaking Bad 55,Vince Gilligan,"Actor One, Actor Two, Actor Three",United States,English,2018-02-23,2008,9.5,531658,50 min,"Crime, Drama","A comedies, dramas story featuring memorable characters and unexpected events."
s0056,TV Show,Narcos 56,"Carlo Bernard, Chris Brancato","Lead Actor, Lead Actress",Spain,Spanish,2020-12-09,2015,8.8,300030,55 min,"Comedies, Dramas",A children & family story featuring memorable characters and unexpected events.
s0057,TV Show,Wednesday 57,"Alfred Gough, Miles Millar",,United States,english ,2023-02-13,2022,8.0,847505,60 min,"Sci-Fi, Fantasy","A drama, international story featuring memorable characters and unexpected events."
s0058,TV Show,Bridgerton 58,Chris Van Dusen,"Main Cast, Supporting Cast",United States,Eng,2024-07-07,2020,7.4,142014,65 min,"Crime, Drama","A action, thriller story featuring memorable characters and unexpected events."
s0059,TV Show,The Witcher 59,Lauren Schmidt Hissrich,"Actor One, Actor Two, Actor Three",United States,english ,2018-03-24,2019,8.0,286777,25 min,"Crime, Drama",A thrillers story featuring memorable characters and unexpected events.
s0060,TV Show,Squid Game 60,Hwang Dong-hyuk,"Lead Actor, Lead Actress",South Korea, KOREAN,2019-05-22,2021,8.0,531159,30 min,Children & Family,"A crime, drama story featuring memorable characters and unexpected events."
s0061,TV Show,The Queen's Gambit 61,"Scott Frank, Allan Scott",,United States,English,2017-08-06,2020,8.5,291320,35 min,"Drama, International","A drama, international story featuring memorable characters and unexpected events."
s0062,TV Show,Peaky Blinders 62,Steven Knight,"Lead Actor, Lead Actress",United States,english,2020-10-07,2013,8.8,170630,40 min,Children & Family,"A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0063,TV Show,Black Mirror 63,Charlie Brooker,"Main Cast, Supporting Cast",United States,English ,2024-12-09,2011,8.7,118508,45 min,"Action, Thriller","A comedies, dramas story featuring memorable characters and unexpected events."
s0064,TV Show,The Umbrella Academy 64,Steve Blackman,,United States,English,2023-02-22,2019,7.8,580564,50 min,"Comedies, Dramas",A international movies story featuring memorable characters and unexpected events.
s0065,TV Show,Lupin 65,George Kay,"Lead Actor, Lead Actress",France,French,2018-06-16,2021,7.5,835994,55 min,"Drama, International",A romantic movies story featuring memorable characters and unexpected events.
s0066,TV Show,Sacred Games 66,"Vikramaditya Motwane, Anurag Kashyap","Main Cast, Supporting Cast",India,hindi,2019-05-20,2018,8.5,372058,60 min,"Sci-Fi, Fantasy",A international movies story featuring memorable characters and unexpected events.
s0067,TV Show,Delhi Crime 67,Richie Mehta,"Actor One, Actor Two, Actor Three",India,hindi,2023-12-27,2019,8.5,839942,65 min,"Comedies, Dramas",A international movies story featuring memorable characters and unexpected events.
s0068,TV Show,Paatal Lok 68,,"Lead Actor, Lead Actress",India,hindi,2017-04-21,2020,8.1,821591,25 min,International Movies,A documentaries story featuring memorable characters and unexpected events.
s0069,TV Show,Kota Factory 69,Saurabh Khanna,"Main Cast, Supporting Cast",India,hindi,2020-01-07,2019,9.0,402324,30 min,"Drama, International",A children & family story featuring memorable characters and unexpected events.
s0070,TV Show,The Family Man 70,"Raj Nidimoru, Krishna D.K.","Lead Actor, Lead Actress",India,hindi,2019-07-10,2019,8.7,321215,35 min,Documentaries,A documentaries story featuring memorable characters and unexpected events.
s0071,Movie,The Irishman 71,Martin Scorsese,"Actor One, Actor Two, Actor Three",United States,english ,2017-04-16,2019,7.8,419021,209 min,Romantic Movies,"A crime, drama story featuring memorable characters and unexpected events."
s0072,Movie,Extraction 72,Sam Hargrave,"Lead Actor, Lead Actress",United States, ENGLISH,"October 21, 2017",2020,6.8,673842,116 min,"Sci-Fi, Fantasy",A international movies story featuring memorable characters and unexpected events.
s0073,Movie,Bird Box 73,Susanne Bier,"Lead Actor, Lead Actress",United States,Eng,2024-08-24,2018,6.6,30141,124 min,"Action, Thriller","A crime, drama story featuring memorable characters and unexpected events."
s0074,Movie,Red Notice 74,Rawson Marshall Thurber,"Lead Actor, Lead Actress",United States,Eng,2019-01-11,2021,6.3,41315,118 min,"Action, Thriller",A thrillers story featuring memorable characters and unexpected events.
s0075,Movie,The Gray Man 75,"Anthony Russo, Joe Russo","Lead Actor, Lead Actress",United States, ENGLISH,2021-11-24,2022,6.5,458792,122 min,Thrillers,"A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0076,Movie,Enola Holmes 76,Harry Bradbeer,,United States,English ,2018-04-28,2020,6.6,200512,123 min,"Crime, Drama","A drama, international story featuring memorable characters and unexpected events."
s0077,Movie,Glass Onion 77,Rian Johnson,"Main Cast, Supporting Cast",United States,English ,2024-12-22,2022,7.1,546375,139 min,"Sci-Fi, Fantasy",A documentaries story featuring memorable characters and unexpected events.
s0078,Movie,All Quiet on the Western Front 78,Edward Berger,"Main Cast, Supporting Cast",Germany,German ,2021-02-09,2022,7.8,697703,148 min,Romantic Movies,A thrillers story featuring memorable characters and unexpected events.
s0079,Movie,Roma 79,Alfonso Cuarón,"Lead Actor, Lead Actress",Spain,Spanish,2020-07-18,2018,7.7,532956,135 min,"Crime, Drama",A international movies story featuring memorable characters and unexpected events.
s0080,Movie,The Platform 80,Galder Gaztelu-Urrutia,,Spain,Spanish ,2020-09-07,2019,7.0,582543,94 min,"Comedies, Dramas",A documentaries story featuring memorable characters and unexpected events.
s0081,Movie,The Mitchells vs. the Machines 81,"Michael Rianda, Jeff Rowe",,United States,english ,2021-09-28,2021,7.6,711419,114 min,"Comedies, Dramas",A thrillers story featuring memorable characters and unexpected events.
s0082,Movie,Klaus 82,Sergio Pablos,,United States, ENGLISH,2023-05-30,2019,8.2,575753,96 min,"Drama, International","A crime, drama story featuring memorable characters and unexpected events."
s0083,Movie,The Half of It 83,Alice Wu,,United States,english,2020-03-30,2020,6.9,825127,104 min,Thrillers,A thrillers story featuring memorable characters and unexpected events.
s0084,Movie,Dangal 84,Nitesh Tiwari,,, HINDI,2024-05-14,2016,8.3,464446,161 min,Children & Family,A documentaries story featuring memorable characters and unexpected events.
s0085,Movie,Andhadhun 85,Sriram Raghavan,"Actor One, Actor Two, Actor Three",India,Hindi ,2022-10-04,2018,8.2,692055,139 min,"Action, Thriller","A crime, drama story featuring memorable characters and unexpected events."
s0086,Movie,Drishyam 86,Nishikant Kamat,"Lead Actor, Lead Actress",India,Hind,2022-10-22,2015,8.2,99123,163 min,Documentaries,"A crime, drama story featuring memorable characters and unexpected events."
s0087,Movie,RRR 87,S. S. Rajamouli,"Actor One, Actor Two, Actor Three",India,telugu,19-Jul-2019,2022,7.8,26811,187 min,"Drama, International",A documentaries story featuring memorable characters and unexpected events.
s0088,Movie,Kantara 88,Rishab Shetty,,India,Kannada,2022-05-10,2022,8.6,435772,148 min,Thrillers,A documentaries story featuring memorable characters and unexpected events.
s0089,Movie,The Lunchbox 89,Ritesh Batra,,India,Hindi ,2025-01-30,2013,7.8,420266,104 min,Documentaries,"A comedies, dramas story featuring memorable characters and unexpected events."
s0090,Movie,3 Idiots 90,Rajkumar Hirani,"Main Cast, Supporting Cast",India,Hindi,2024-05-20,2009,,817432,170 min,International Movies,A documentaries story featuring memorable characters and unexpected events.
s0091,Movie,Zindagi Na Milegi Dobara 91,Zoya Akhtar,,India,Hind,2018-12-31,2011,8.2,53857,155 min,"Sci-Fi, Fantasy",A documentaries story featuring memorable characters and unexpected events.
s0092,Movie,Kabhi Khushi Kabhie Gham 92,Karan Johar,"Actor One, Actor Two, Actor Three",India,Hindi ,2018-05-22,2001,7.4,841546,210 min,Children & Family,"A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0093,Movie,Jawan 93,Atlee,"Lead Actor, Lead Actress",India,Hind,2023-04-18,2023,6.9,793137,169 min,Children & Family,A thrillers story featuring memorable characters and unexpected events.
s0094,Movie,The Killer 94,David Fincher,,United States,Eng,2025-02-03,2023,6.7,575685,118 min,Children & Family,"A comedies, dramas story featuring memorable characters and unexpected events."
s0095,Movie,Maestro 95,Bradley Cooper,,United States,English ,2025-05-14,2023,6.5,272982,129 min,Documentaries,"A crime, drama story featuring memorable characters and unexpected events."
s0096,Movie,Society of the Snow 96,J. A. Bayona,"Actor One, Actor Two, Actor Three",Spain,Spanish ,2022-11-15,2023,7.8,289136,144 min,Children & Family,"A action, thriller story featuring memorable characters and unexpected events."
s0097,Movie,The Adam Project 97,Shawn Levy,"Actor One, Actor Two, Actor Three",United States, ENGLISH,2025-01-10,2022,6.7,286113,106 min,Romantic Movies,A romantic movies story featuring memorable characters and unexpected events.
s0098,Movie,Don't Look Up 98,Adam McKay,"Actor One, Actor Two, Actor Three",United States,,2023-01-31,2021,7.2,159357,138 min,Documentaries,A international movies story featuring memorable characters and unexpected events.
s0099,Movie,The Power of the Dog 99,Jane Campion,"Actor One, Actor Two, Actor Three",United States,english,2024-10-22,2021,6.8,68548,126 min,International Movies,A international movies story featuring memorable characters and unexpected events.
s0100,Movie,Marriage Story 100,Noah Baumbach,,United States,Eng,2020-09-26,2019,7.9,437170,137 min,"Drama, International",A documentaries story featuring memorable characters and unexpected events.
s0101,TV Show,Stranger Things 101,The Duffer Brothers,"Main Cast, Supporting Cast",United States,English ,2021-09-26,2016,8.7,803984,40 min,Thrillers,A international movies story featuring memorable characters and unexpected events.
s0102,TV Show,The Crown 102,Peter Morgan,"Lead Actor, Lead Actress",United States,English,2022-05-17,2016,8.6,791275,45 min,International Movies,A international movies story featuring memorable characters and unexpected events.
s0103,TV Show,Money Heist 103,Álex Pina,"Actor One, Actor Two, Actor Three",Spain,Español,2023-01-23,2017,8.2,513145,50 min,Documentaries,"A crime, drama story featuring memorable characters and unexpected events."
s0104,TV Show,Dark 104,"Baran bo Odar, Jantje Friese",,Germany,German ,2021-11-30,2017,8.7,353657,,International Movies,"A comedies, dramas story featuring memorable characters and unexpected events."
s0105,TV Show,Breaking Bad 105,Vince Gilligan,,United States,english,2022-04-08,2008,9.5,29476,55 min,International Movies,A thrillers story featuring memorable characters and unexpected events.
s0106,TV Show,Narcos 106,"Carlo Bernard, Chris Brancato",,Spain,Spanish,2023-05-10,2015,8.8,143491,60 min,Children & Family,"A comedies, dramas story featuring memorable characters and unexpected events."
s0107,TV Show,Wednesday 107,"Alfred Gough, Miles Millar","Lead Actor, Lead Actress",United States, ENGLISH,2017-08-03,2022,8.0,223141,65 min,Children & Family,A romantic movies story featuring memorable characters and unexpected events.
s0108,TV Show,Bridgerton 108,Chris Van Dusen,,United States,English ,2020-10-23,2020,7.4,265725,25 min,"Action, Thriller",A children & family story featuring memorable characters and unexpected events.
s0109,TV Show,The Witcher 109,Lauren Schmidt Hissrich,"Main Cast, Supporting Cast",United States,english ,2017-03-30,2019,8.0,368160,30 min,Documentaries,"A action, thriller story featuring memorable characters and unexpected events."
s0110,TV Show,Squid Game 110,Hwang Dong-hyuk,"Actor One, Actor Two, Actor Three",South Korea,Korean,2024-05-02,2021,8.0,210244,35 min,"Drama, International",A thrillers story featuring memorable characters and unexpected events.
s0111,TV Show,The Queen's Gambit 111,"Scott Frank, Allan Scott",,United States,english,2018-09-26,2020,8.5,703178,40 min,"Action, Thriller",A thrillers story featuring memorable characters and unexpected events.
s0112,TV Show,Peaky Blinders 112,Steven Knight,"Lead Actor, Lead Actress",United States,English ,2019-06-21,2013,8.8,805350,45 min,Romantic Movies,"A comedies, dramas story featuring memorable characters and unexpected events."
s0113,TV Show,Black Mirror 113,Charlie Brooker,"Main Cast, Supporting Cast",United States,Eng,2023-10-27,2011,8.7,816773,50 min,"Comedies, Dramas","A crime, drama story featuring memorable characters and unexpected events."
s0114,TV Show,The Umbrella Academy 114,Steve Blackman,"Lead Actor, Lead Actress",United States,Eng,2018-03-28,2019,7.8,604966,55 min,International Movies,A international movies story featuring memorable characters and unexpected events.
s0115,TV Show,Lupin 115,George Kay,,France,french,2025-01-16,2021,7.5,725361,60 min,Documentaries,"A action, thriller story featuring memorable characters and unexpected events."
s0116,TV Show,Sacred Games 116,"Vikramaditya Motwane, Anurag Kashyap",,India, HINDI,2024-11-04,2018,8.5,845857,65 min,"Action, Thriller",A thrillers story featuring memorable characters and unexpected events.
s0117,TV Show,Delhi Crime 117,Richie Mehta,,India, HINDI,2017-06-27,2019,8.5,694855,25 min,Romantic Movies,"A action, thriller story featuring memorable characters and unexpected events."
s0118,TV Show,Paatal Lok 118,Sudip Sharma,,India, HINDI,2022-09-13,2020,8.1,515213,30 min,"Action, Thriller",A international movies story featuring memorable characters and unexpected events.
s0119,TV Show,Kota Factory 119,Saurabh Khanna,"Actor One, Actor Two, Actor Three",India,Hindi ,2021-02-01,2019,9.0,457841,35 min,"Comedies, Dramas","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0120,TV Show,The Family Man 120,"Raj Nidimoru, Krishna D.K.",,India, HINDI,2024-04-27,2019,8.7,813470,40 min,Children & Family,A children & family story featuring memorable characters and unexpected events.
s0121,Movie,The Irishman 121,Martin Scorsese,,United States,english ,2021-11-29,2019,7.8,282633,209 min,Romantic Movies,A documentaries story featuring memorable characters and unexpected events.
s0122,Movie,Extraction 122,Sam Hargrave,,United States, ENGLISH,2017-12-30,2020,6.8,256909,116 min,Children & Family,A thrillers story featuring memorable characters and unexpected events.
s0123,Movie,Bird Box 123,Susanne Bier,,United States,english ,2023-11-14,2018,6.6,353937,124 min,"Drama, International",A children & family story featuring memorable characters and unexpected events.
s0124,Movie,Red Notice 124,Rawson Marshall Thurber,,United States,english,2020-09-02,2021,6.3,223623,118 min,Romantic Movies,"A crime, drama story featuring memorable characters and unexpected events."
s0125,Movie,The Gray Man 125,"Anthony Russo, Joe Russo",,United States, ENGLISH,2020-11-04,2022,6.5,736444,122 min,"Crime, Drama","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0126,Movie,Enola Holmes 126,Harry Bradbeer,"Actor One, Actor Two, Actor Three",United States,Eng,2017-02-20,2020,6.6,90971,123 min,Documentaries,A international movies story featuring memorable characters and unexpected events.
s0127,Movie,Glass Onion 127,Rian Johnson,"Actor One, Actor Two, Actor Three",United States,Eng,2022-07-04,2022,7.1,725356,139 min,Children & Family,A children & family story featuring memorable characters and unexpected events.
s0128,Movie,All Quiet on the Western Front 128,Edward Berger,"Main Cast, Supporting Cast",Germany,German,2022-01-19,2022,7.8,309728,148 min,Documentaries,A international movies story featuring memorable characters and unexpected events.
s0129,Movie,Roma 129,Alfonso Cuarón,"Lead Actor, Lead Actress",Spain,spanish,2024-10-13,2018,7.7,697412,135 min,Thrillers,A romantic movies story featuring memorable characters and unexpected events.
s0130,Movie,The Platform 130,Galder Gaztelu-Urrutia,,Spain,Español,02-May-2022,2019,7.0,361655,94 min,International Movies,"A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0131,Movie,The Mitchells vs. the Machines 131,"Michael Rianda, Jeff Rowe",,United States, ENGLISH,2020-09-25,2021,7.6,285276,114 min,"Crime, Drama","A crime, drama story featuring memorable characters and unexpected events."
s0132,Movie,Klaus 132,Sergio Pablos,"Actor One, Actor Two, Actor Three",United States,English,2019-08-12,2019,8.2,332076,96 min,"Action, Thriller","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0133,Movie,The Half of It 133,Alice Wu,"Actor One, Actor Two, Actor Three",United States,english,2024-10-06,2020,6.9,228095,104 min,Children & Family,"A crime, drama story featuring memorable characters and unexpected events."
s0134,Movie,Dangal 134,Nitesh Tiwari,,India,Hind,2025-02-24,2016,8.3,626980,161 min,"Crime, Drama","A action, thriller story featuring memorable characters and unexpected events."
s0135,Movie,Andhadhun 135,,"Actor One, Actor Two, Actor Three",India, HINDI,2019-03-16,2018,8.2,379611,139 min,"Comedies, Dramas","A crime, drama story featuring memorable characters and unexpected events."
s0136,Movie,Drishyam 136,Nishikant Kamat,"Actor One, Actor Two, Actor Three",India,Hind,2017-03-08,2015,8.2,288836,163 min,"Drama, International","A drama, international story featuring memorable characters and unexpected events."
s0137,Movie,RRR 137,S. S. Rajamouli,"Actor One, Actor Two, Actor Three",India, TELUGU,2023-03-26,2022,7.8,670054,187 min,Children & Family,"A action, thriller story featuring memorable characters and unexpected events."
s0138,Movie,Kantara 138,Rishab Shetty,,India, KANNADA,2017-03-01,2022,8.6,503168,148 min,Children & Family,A romantic movies story featuring memorable characters and unexpected events.
s0139,Movie,The Lunchbox 139,Ritesh Batra,"Lead Actor, Lead Actress",India,Hindi,2019-02-04,2013,7.8,502135,104 min,"Action, Thriller","A action, thriller story featuring memorable characters and unexpected events."
s0140,Movie,3 Idiots 140,Rajkumar Hirani,"Main Cast, Supporting Cast",India,Hindi ,2021-07-09,2009,8.4,606250,170 min,"Drama, International","A comedies, dramas story featuring memorable characters and unexpected events."
s0141,Movie,Zindagi Na Milegi Dobara 141,Zoya Akhtar,"Lead Actor, Lead Actress",India,Hind,2018-09-13,2011,8.2,90518,155 min,Documentaries,"A action, thriller story featuring memorable characters and unexpected events."
s0142,Movie,Kabhi Khushi Kabhie Gham 142,Karan Johar,,India,Hindi ,2023-04-14,2001,7.4,626284,210 min,Thrillers,A documentaries story featuring memorable characters and unexpected events.
s0143,Movie,Jawan 143,Atlee,,India,Hindi ,"November 20, 2022",2023,6.9,465426,169 min,"Crime, Drama",A thrillers story featuring memorable characters and unexpected events.
